country_id,year,total_floorspace_m2,res_share,nres_share,residential_floorspace_m2,non_residential_floorspace_m2,v6_estimate_status,composition_status,interpolation_from,composition_source,method_id,qa_flags,period_end,nowcast_horizon_years,nowcast_method
BGD,2025,2728174522.67,0.9755491284482695,0.024450871551730532,2661468277.8454924,66706244.82450793,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
BGD,2026,2796454621.5,0.9755804987069834,0.02441950129301664,2728166594.2544184,68288027.2455816,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
BGR,2020,543020803.57,0.8247751473733212,0.17522485262667872,447870063.29122615,95150740.27877392,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
BGR,2023,566462792.97,0.824935735186349,0.17506426481365106,467295400.57441956,99167392.39558049,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
BGR,2024,571808044.19,0.8249892644573582,0.17501073554264182,471735497.7871087,100072546.40289135,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
BGR,2025,579920642.36,0.8250427937283674,0.1749572062716326,478459346.9134438,101461295.44655621,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
BGR,2026,588148339.03,0.8250071319430863,0.17499286805691378,485226574.3402302,102921764.68976977,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
BHR,2020,63702858.11,0.9118319065819988,0.08816809341800129,58086298.56516384,5616559.544836161,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
BHR,2023,70285026.86,0.9113295720831004,0.08867042791689962,64052823.45217302,6232203.407826983,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
BHR,2024,71514204.32,0.9111621272501343,0.08883787274986572,65161034.53681194,6353169.783188057,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
BHR,2025,73398393.55,0.9109946824171682,0.08900531758283184,66865546.22201257,6532847.327987426,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
BHR,2026,75332225.63,0.910815989880996,0.089184010119004,68613795.65712698,6718429.972873012,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
BHS,2020,29184660.45,0.9027519654878869,0.09724803451211304,26346509.5833341,2838150.8666659007,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
BHS,2023,30646062.76,0.902479956155269,0.09752004384473097,27657457.375976425,2988605.384023577,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
BHS,2024,30980630.46,0.9023892863777297,0.09761071362227026,27956589.012331557,3024041.447668443,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
BHS,2025,31489342.94,0.9022986166001904,0.09770138339980958,28412790.572410975,3076552.367589027,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
